AAA	Anaa	French Polynesia	Anaa Airport
AAC	El Arish	Egypt	El Arish International Airport
AAE	Annaba	Algeria	Annaba Rabah Bitat Airport
AAK	Buariki	Kiribati	Aranuka Airport
AAL	Aalborg	Denmark	Aalborg Airport
AAN	Al Ain	United Arab Emirates	Al Ain International Airport
AAP	Samarinda	Indonesia	Aji Pangeran Tumenggung Pranoto International Airport
AAQ	Krasnyi Kurgan	Russia	Anapa Vityazevo Airport
AAR	Aarhus	Denmark	Aarhus Airport
AAT	Altay	China	Altay Xuedu Airport
AAX	Araxá	Brazil	Romeu Zema Airport
AAY	Al Ghaydah	Yemen	Al Ghaydah International Airport
AAZ	Quezaltenango	Guatemala	Quezaltenango Airport
ABA	Abakan	Russia	Abakan International Airport
ABB	Asaba	Nigeria	Asaba International Airport
ABD	Abadan	Iran	Abadan Ayatollah Jami International Airport
ABE	Allentown/Bethlehem	United States	Lehigh Valley International Airport
ABI	Abilene	United States	Abilene Regional Airport
ABJ	Abidjan	Côte d'Ivoire	Félix-Houphouët-Boigny International Airport
ABK	Kebri Dahar	Ethiopia	Kebri Dahar Airport
ABL	Ambler	United States	Ambler Airport
ABM	Bamaga	Australia	Northern Peninsula Airport
ABQ	Albuquerque	United States	Albuquerque International Sunport
ABR	Aberdeen	United States	Aberdeen Regional Airport
ABS	Abu Simbel	Egypt	Abu Simbel Airport
ABT	Al-Baha	Saudi Arabia	King Saud Bin Abdulaziz (Al Baha) Airport
ABU	Atambua	Indonesia	AA Bere Tallo (Haliwen) Airport
ABV	Abuja	Nigeria	Nnamdi Azikiwe International Airport
ABX	East Albury	Australia	Albury Airport
ABY	Albany	United States	Southwest Georgia Regional Airport
ABZ	Aberdeen	United Kingdom	Aberdeen International Airport
ACA	Acapulco	Mexico	General Juan N. Álvarez International Airport
ACC	Accra	Ghana	Kotoka International Airport
ACE	San Bartolomé	Spain	César Manrique-Lanzarote Airport
ACF	Aral	China	Aral Tarim Airport
ACH	St. Gallen	Switzerland	Sankt Gallen Altenrhein Airport
ACI	Saint Anne	Guernsey	Alderney Airport
ACK	Nantucket	United States	Nantucket Memorial Airport
ACT	Waco	United States	Waco Regional Airport
ACV	Arcata/Eureka	United States	California Redwood Coast-Humboldt County Airport
ACX	Xingyi	China	Xingyi Wanfenglin Airport
ACY	Atlantic City	United States	Atlantic City International Airport
ADB	Gaziemir	Turkey	Adnan Menderes International Airport
ADD	Addis Ababa	Ethiopia	Addis Ababa Bole International Airport
ADE	Aden	Yemen	Aden International Airport
ADF	Adıyaman	Turkey	Adıyaman Airport
ADJ	Amman	Jordan	Marka International (Amman Civil) Airport
ADK	Adak	United States	Adak Airport
ADL	Adelaide	Australia	Adelaide International Airport
ADQ	Kodiak	United States	Kodiak Airport
ADU	Ardabil	Iran	Ardabil Airport
ADZ	San Andrés	Colombia	Gustavo Rojas Pinilla International Airport
AEB	Baise (Tianyang)	China	Baise (Bose) Bama Airport
AEP	Buenos Aires	Argentina	Aeroparque Jorge Newbery
AER	Sochi	Russia	Sochi International Airport
AES	Ålesund	Norway	Ålesund Airport
AET	Allakaket	United States	Allakaket Airport
AEU	Abu Musa	Iran	Abu Musa Island Airport
AEX	Alexandria	United States	Alexandria International Airport
AEY	Akureyri	Iceland	Akureyri International Airport
AFA	San Rafael	Argentina	Suboficial Ay Santiago Germano Airport
AFL	Alta Floresta	Brazil	Piloto Osvaldo Marques Dias Airport
AFZ	Sabzevar	Iran	Sabzevar National Airport
AGA	Agadir (Temsia)	Morocco	Al Massira Airport
AGE	Wangerooge	Germany	Wangerooge Airport
AGH	Ängelholm	Sweden	Ängelholm-Helsingborg Airport
AGI	Wageningen	Suriname	Wageningen Airstrip
AGJ	Aguni	Japan	Aguni Airport
AGM	Tasiilaq	Greenland	Tasiilaq Heliport
AGN	Angoon	United States	Angoon Seaplane Base
AGP	Málaga	Spain	Málaga-Costa del Sol Airport
AGR	Agra	India	Agra Airport / Agra Air Force Station
AGS	Augusta	United States	Augusta Regional At Bush Field
AGT	Ciudad del Este	Paraguay	Guaraní International Airport
AGU	Aguascalientes	Mexico	Aguascalientes International Airport
AGX	Agatti	India	Agatti Airport
AHA	Ambikapur	India	Maa Mahamaya Airport
AHB	Abha	Saudi Arabia	Abha International Airport
AHE	Ahe Atoll	French Polynesia	Ahe Airport
AHO	Alghero	Italy	Alghero-Fertilia Airport
AHU	Al Hoceima	Morocco	Cherif Al Idrissi Airport
AIA	Alliance	United States	Alliance Municipal Airport
AIN	Wainwright	United States	Wainwright Airport
AIP	Adampur	India	Adampur Airport
AIT	Aitutaki	Cook Islands	Aitutaki Airport
AIU	Atiu Island	Cook Islands	Enua Airport
AJA	Ajaccio	France	Ajaccio Napoléon Bonaparte airport
AJF	Al-Jawf	Saudi Arabia	Al-Jawf International Airport
AJI	Ağrı	Turkey	Ağrı Airport
AJL	Aizawl (Lengpui)	India	Lengpui Airport
AJN	Ouani	Comoros	Ouani Airport
AJR	Arvidsjaur	Sweden	Arvidsjaur Airport
AJU	Aracaju	Brazil	Aracaju - Santa Maria Airport
AKA	Ankang (Hanbin)	China	Ankang Fuqiang Airport
AKB	Atka	United States	Atka Airport
AKF	Kufra	Libya	Kufra Airport
AKI	Akiak	United States	Akiak Airport
AKJ	Higashikagura	Japan	Asahikawa Airport
AKK	Akhiok	United States	Akhiok Airport
AKL	Auckland	New Zealand	Auckland International Airport
AKN	King Salmon	United States	King Salmon Airport
AKP	Anaktuvuk Pass	United States	Anaktuvuk Pass Airport
AKR	Akure	Nigeria	Akure Airport
AKS	Auki	Solomon Islands	Gwaunaru'u Airport
AKU	Aksu (Onsu)	China	Aksu Hongqipo Airport
AKV	Akulivik	Canada	Akulivik Airport
AKX	Aktobe	Kazakhstan	Aktobe International Airport
AKY	Sittwe	Myanmar	Sittwe Airport
ALA	Almaty	Kazakhstan	Almaty International Airport
ALB	Albany	United States	Albany International Airport
ALC	Alicante	Spain	Alicante-Elche Miguel Hernández Airport
ALF	Alta	Norway	Alta Airport
ALG	Algiers	Algeria	Houari Boumediene Airport
ALH	Albany	Australia	Albany Airport
ALO	Waterloo	United States	Waterloo Regional Airport
ALP	Aleppo	Syria	Aleppo International Airport
ALS	Alamosa	United States	San Luis Valley Regional Airport/Bergman Field
ALW	Walla Walla	United States	Walla Walla Regional Airport
ALZ	Lazy Bay	United States	Alitak Seaplane Base
AMA	Amarillo	United States	Rick Husband Amarillo International Airport
AMD	Ahmedabad	India	Sardar Vallabh Patel International Airport
AMH	Arba Minch	Ethiopia	Arba Minch Airport
AMM	Amman	Jordan	Queen Alia International Airport
AMQ	Ambon	Indonesia	Pattimura International Airport
AMS	Amsterdam	Netherlands	Amsterdam Airport Schiphol
AMV	Amderma	Russia	Amderma Airport
